"SR";"TI";"TI_TM"
" 2017 OBSTET GYNECOL";"Committee Opinion No. 699: Adolescent Pregnancy, Contraception, and Sexual Activity";"COMMITTEE OPINION;ADOLESCENT PREGNANCY;PREGNANCY CONTRACEPTION;SEXUAL ACTIVITY"
"ABBE C, 2021, Trends Androl. Sex. Med.";"MALE CONTRACEPTION: HORMONAL METHODS";"MALE CONTRACEPTION;CONTRACEPTION HORMONAL;HORMONAL METHODS"
"ABBE CR, 2020, YALE J BIOL MED";"MALE CONTRACEPTION";"MALE CONTRACEPTION"
"ABBOTT DM, 2023, PSYCHOL WOMEN Q";"THE US IN UTERUS: A COLLABORATIVE AUTOETHNOGRAPHY OF PSYCHOLOGISTS ADVOCATING FOR REPRODUCTIVE JUSTICE";"COLLABORATIVE AUTOETHNOGRAPHY;PSYCHOLOGISTS ADVOCATING;REPRODUCTIVE JUSTICE"
"ABJI S, 2021, CITIZENSH STUD";"MIGRANT JUSTICE AS REPRODUCTIVE JUSTICE: BIRTHRIGHT CITIZENSHIP AND THE POLITICS OF IMMIGRATION DETENTION FOR PREGNANT WOMEN IN CANADA";"MIGRANT JUSTICE;REPRODUCTIVE JUSTICE;JUSTICE BIRTHRIGHT;BIRTHRIGHT CITIZENSHIP;IMMIGRATION DETENTION;PREGNANT WOMEN"
"ACKERMAN K, 2017, TRANSCENDING BORDERS: Abort. PAST Present";"“EVERY BODY HAS ITS OWN FEMINISM”: INTRODUCING TRANSCENDING BORDERS";"FEMINISM INTRODUCING;INTRODUCING TRANSCENDING;TRANSCENDING BORDERS"
"ACKERMAN K, 2019, CAN HIST REV";"``THE PUBLIC IS NOT READY FOR THIS'': 1969AND THE LONG ROAD TO ABORTION ACCESS";"ABORTION ACCESS"
"ACTON LW, 2024, HEALTH PROMOT PRACT";"DEVELOPMENT, IMPLEMENTATION, AND FORMATIVE EVALUATION OF A SOCIAL NEEDS SCREENING TOOL";"DEVELOPMENT IMPLEMENTATION;FORMATIVE EVALUATION;SCREENING TOOL"
"ADAIR L, 2022, WOMEN'S Reprod. Health";"CONCEPTUALIZING ABORTION AS ADAPTIVE: THROWING THE BABY OUT WITH THE BATHWATER?";"CONCEPTUALIZING ABORTION;ADAPTIVE THROWING"
"ADAMS HB, 2021, Rhetor. Health Med.";"TEACHING HEALTH JUSTICE CENTERING REPRODUCTION";"TEACHING HEALTH;HEALTH JUSTICE;JUSTICE CENTERING;CENTERING REPRODUCTION"
"ADAMS HB, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"NOT AN EASY READ FOR “NORMAL” “COLORED” PEOPLE: CONVERSATIONS ON SHANGE’S AND ROONEY’S LITERATURES OF SEXUAL CITIZENSHIP";"EASY READ;NORMAL COLORED;COLORED PEOPLE;PEOPLE CONVERSATIONS;ROONEYS LITERATURES;SEXUAL CITIZENSHIP"
"ADAMS L, 2023, SEX REPROD HLTH MATTERS";"FORGOTTEN BY DONORS: A CALL TO ACTION BY PERSONS WITH DISABILITIES TO RESOURCE DISABILITY JUSTICE WITHIN SEXUAL AND REPRODUCTIVE HEALTH RIGHTS FUNDING";"RESOURCE DISABILITY;DISABILITY JUSTICE;REPRODUCTIVE HEALTH;HEALTH RIGHTS;RIGHTS FUNDING"
"ADAMS RB, 2024, HEALTH COMMUN";"REIMAGINING THE FUTURE OF REPRODUCTION FROM A BLACK QUEER LENS: AN ART-BASED APPROACH TO THE STUDY OF REPRODUCTIVE HEALTH CARE";"BLACK QUEER;QUEER LENS;ART-BASED APPROACH;REPRODUCTIVE HEALTH;HEALTH CARE"
"ADAMS RB, 2024, QUAL HEALTH RES";"BLACK QUEER BEING/KNOWING/FEELING: STORYTELLING OF BARRIERS TO REPRODUCTIVE HEALTHCARE";"BLACK QUEER;QUEER BEINGKNOWINGFEELING;BEINGKNOWINGFEELING STORYTELLING;REPRODUCTIVE HEALTHCARE"
"AGENOR M, 2019, AM J PUBLIC HEALTH";"A REPRODUCTIVE JUSTICE APPROACH TO PATIENT-CENTERED, STRUCTURALLY COMPETENT CONTRACEPTIVE CARE AMONG DIVERSE SEXUAL MINORITY US WOMEN";"REPRODUCTIVE JUSTICE;JUSTICE APPROACH;PATIENT-CENTERED STRUCTURALLY;STRUCTURALLY COMPETENT;COMPETENT CONTRACEPTIVE;CONTRACEPTIVE CARE;DIVERSE SEXUAL;SEXUAL MINORITY"
"AHLBERG BM, 2023, Struggl. Reprod. Justice ERA ANTI-GENDERISM Relig. Fundam.";"MILLENNIUM DEVELOPMENT GOALS AND WOMEN'S REPRODUCTIVE HEALTH AND JUSTICE IN AFRICAN COUNTRIES IN THE ERA OF GLOBAL NEOLIBERALISM, NEOCONSERVATISM AND FUNDAMENTALISM";"MILLENNIUM DEVELOPMENT;DEVELOPMENT GOALS;WOMENS REPRODUCTIVE;REPRODUCTIVE HEALTH;AFRICAN COUNTRIES;GLOBAL NEOLIBERALISM;NEOLIBERALISM NEOCONSERVATISM"
"AHMED A, 2023, J LAW MED ETHICS";"INTRODUCTION: SECURING REPRODUCTIVE JUSTICE AFTER <I>DOBBS</I>";"INTRODUCTION SECURING;SECURING REPRODUCTIVE;REPRODUCTIVE JUSTICE"
"AINSWORTH SL, 2014, WASH LAW REV";"BEARING CHILDREN, BEARING RISKS: FEMINIST LEADERSHIP FOR PROGRESSIVE REGULATION OF COMPENSATED SURROGACY IN THE UNITED STATES";"BEARING CHILDREN;CHILDREN BEARING;BEARING RISKS;RISKS FEMINIST;FEMINIST LEADERSHIP;PROGRESSIVE REGULATION;COMPENSATED SURROGACY"
"AJAYI-LOWO EO, 2024, MERIDIANS";"SAFE MOTHERHOOD INITIATIVE: WHITHER AFRICAN INDIGENOUS BIRTHING KNOWLEDGE?";"SAFE MOTHERHOOD;MOTHERHOOD INITIATIVE;AFRICAN INDIGENOUS;INDIGENOUS BIRTHING;BIRTHING KNOWLEDGE"
"AKSAN AM, 2024, FRONT HEALTH SERV";"EDITORIAL: HEALTH INEQUITIES AND REPRODUCTIVE JUSTICE IN THE MODERN ERA";"EDITORIAL HEALTH;HEALTH INEQUITIES;REPRODUCTIVE JUSTICE;MODERN ERA"
"ALBANESI H, 2016, Teach. Gend. SEX Contemp. Am.";"INFUSING FEMINIST DISABILITY STUDIES IN OUR TEACHING";"INFUSING FEMINIST;FEMINIST DISABILITY;DISABILITY STUDIES"
"ALBERTYN C, 2015, REV DIREITO GV";"CLAIMING AND DEFENDING ABORTION RIGHTS IN SOUTH AFRICA";"DEFENDING ABORTION;ABORTION RIGHTS;SOUTH AFRICA"
"ALCALDE-GONZALEZ V, 2024, SOC MOV STUD";"DIFFUSION OF INTERSECTIONALITY ACROSS CONTEMPORARY SPANISH ACTIVISM: THE CASE OF LAS KELLYS";"CONTEMPORARY SPANISH;SPANISH ACTIVISM;LAS KELLYS"
"ALEXANDER-FLOYD NG, 2023, CONTEMP PSYCHOANAL";"PSYCHOANALYSIS AND REPRODUCTIVE JUSTICE: REFLECTIONS ON DOBBS AND THE POSSIBILITIES OF PSYCHOANALYTIC POLITICAL PRAXIS";"REPRODUCTIVE JUSTICE;JUSTICE REFLECTIONS;PSYCHOANALYTIC POLITICAL;POLITICAL PRAXIS"
"ALLURED JL, 2022, J FEM STUD RELIG";"SOUTHERN METHODIST WOMEN AND THE FIGHT FOR RACIAL AND GENDER JUSTICE, 1939-1990";"SOUTHERN METHODIST;METHODIST WOMEN;GENDER JUSTICE"
"ALSPAUGH A, 2021, J MIDWIFERY WOMEN HEALTH";"UNIVERSAL HEALTH CARE FOR THE UNITED STATES: A PRIMER FOR HEALTH CARE PROVIDERS";"UNIVERSAL HEALTH;HEALTH CARE;HEALTH CARE;CARE PROVIDERS"
"ALSPAUGH A, 2024, Fight. MAD: Resist. END ROE V WADE";"REJECTING THE ABORTION DEBATE BINARY IS ESSENTIAL TO MOVING TOWARD REPRODUCTIVE JUSTICE";"ABORTION DEBATE;DEBATE BINARY;REPRODUCTIVE JUSTICE"
"ALTSHULER AL, 2017, SOC SCI MED";"A GOOD ABORTION EXPERIENCE: A QUALITATIVE EXPLORATION OF WOMEN'S NEEDS AND PREFERENCES IN CLINICAL CARE";"ABORTION EXPERIENCE;QUALITATIVE EXPLORATION;CLINICAL CARE"
"ALVARADO G, 2023, SEX REPROD HLTH MATTERS";"REFLECTIONS FROM AN ABORTION POLICY CONFERENCE IN COSTA RICA, OCTOBER 2022";"ABORTION POLICY;POLICY CONFERENCE;COSTA RICA;RICA OCTOBER"
"ALVAREZ CF, 2024, WEST J COMMUN";"IT'S NOT AN ABORTION: EXAMINING HOW INDIVIDUALS WHO END A WANTED PREGNANCY DISCUSS THEIR EXPERIENCES";"ABORTION EXAMINING;PREGNANCY DISCUSS"
"ALZATE JB, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"REIMAGINING THE PAST, PRESENT, AND THE FUTURE OF REPRODUCTIVE BODIES IN CONTEMPORARY JAPANESE WOMEN’S FICTION: MIEKO KAWAKAMI’S BREASTS AND EGGS AND SAYAKA MURATA’S VANISHING WORLD";"REPRODUCTIVE BODIES;CONTEMPORARY JAPANESE;JAPANESE WOMENS;WOMENS FICTION;FICTION MIEKO;MIEKO KAWAKAMIS;KAWAKAMIS BREASTS;SAYAKA MURATAS;MURATAS VANISHING;VANISHING WORLD"
"AMALRAJ J, 2022, HASTINGS CENT REP";"ETHICS OF A MANDATORY WAITING PERIOD FOR FEMALE STERILIZATION";"MANDATORY WAITING;WAITING PERIOD;FEMALE STERILIZATION"
