"";"Term";"Cluster"
"ABORTION STUDY";"ABORTION STUDY";5
"REPRODUCTIVE HEALTH";"REPRODUCTIVE HEALTH";1
"JUSTICE APPROACH";"JUSTICE APPROACH";2
"CONTRACEPTION CARE";"CONTRACEPTION CARE";1
"ACTIVIST KNOWLEDGES";"ACTIVIST KNOWLEDGES";1
"HEALTH CARE";"HEALTH CARE";1
"EQUITY ADDRESSING";"EQUITY ADDRESSING";1
"BLACK LIVES";"BLACK LIVES";1
"ADDRESSING TEENAGE";"ADDRESSING TEENAGE";1
"ASSISTED REPRODUCTION";"ASSISTED REPRODUCTION";1
"INDIGENOUS PEOPLES";"INDIGENOUS PEOPLES";1
"ETHICAL ISSUES";"ETHICAL ISSUES";1
"ENVIRONMENTAL JUSTICE";"ENVIRONMENTAL JUSTICE";1
"LONG-ACTING REVERSIBLE";"LONG-ACTING REVERSIBLE";1
"CHILD CHALLENGING";"CHILD CHALLENGING";1
"ABOLITION POLITICS";"ABOLITION POLITICS";1
"CARE IMPLICATIONS";"CARE IMPLICATIONS";2
"POST-ROE ERA";"POST-ROE ERA";1
"EDUCATION FRAMEWORK";"EDUCATION FRAMEWORK";1
"REPRODUCTIVE RIGHTS";"REPRODUCTIVE RIGHTS";1
"CRIMINAL JUSTICE";"CRIMINAL JUSTICE";2
"HEALTH ISSUE";"HEALTH ISSUE";1
"BLACK MOTHERS";"BLACK MOTHERS";1
"DOBBS DECISION";"DOBBS DECISION";1
"LATINO COMMUNITY";"LATINO COMMUNITY";1
"COVID- PANDEMIC";"COVID- PANDEMIC";1
"FAMILY PLANNING";"FAMILY PLANNING";1
"BRAZILIAN CONTEXT";"BRAZILIAN CONTEXT";1
"CLIMATE CHANGE";"CLIMATE CHANGE";1
"ART-BASED APPROACH";"ART-BASED APPROACH";1
"HEALTH JUSTICE";"HEALTH JUSTICE";1
"MENTAL HEALTH";"MENTAL HEALTH";1
"BIRTH CONTROL";"BIRTH CONTROL";5
"OBSTETRIC VIOLENCE";"OBSTETRIC VIOLENCE";2
"ADOPTION BELONGING";"ADOPTION BELONGING";2
"FERTILITY CARE";"FERTILITY CARE";1
"HUMAN RIGHTS";"HUMAN RIGHTS";5
"WOMENS HEALTH";"WOMENS HEALTH";1
"BIRTH JUSTICE";"BIRTH JUSTICE";1
"COMMUNICATION STUDIES";"COMMUNICATION STUDIES";1
"HEALTH RESEARCH";"HEALTH RESEARCH";1
"SOCIAL JUSTICE";"SOCIAL JUSTICE";1
"AMERICAN WOMEN";"AMERICAN WOMEN";1
"HEALTH ACTIVISM";"HEALTH ACTIVISM";1
"MEDICATION ABORTION";"MEDICATION ABORTION";2
"NORTHERN IRELAND";"NORTHERN IRELAND";1
"REPRODUCTIVE OPPRESSION";"REPRODUCTIVE OPPRESSION";1
"SEXUAL HEALTH";"SEXUAL HEALTH";1
"REPRODUCTIVE AUTONOMY";"REPRODUCTIVE AUTONOMY";2
"SOUTH AFRICA";"SOUTH AFRICA";1
"BLACK BIRTH";"BLACK BIRTH";2
"BLACK FEMINISM";"BLACK FEMINISM";2
"BREASTFEEDING IMPLICATIONS";"BREASTFEEDING IMPLICATIONS";1
"CLINICAL PRACTICE";"CLINICAL PRACTICE";2
"DISABLED PEOPLE";"DISABLED PEOPLE";4
"EUGENICS PROGRAMS";"EUGENICS PROGRAMS";2
"REPRODUCTIVE CARE";"REPRODUCTIVE CARE";1
"TEACHING REPRODUCTIVE";"TEACHING REPRODUCTIVE";2
"TWENTY-FIRST CENTURY";"TWENTY-FIRST CENTURY";1
"BIRTHING PEOPLE";"BIRTHING PEOPLE";1
"GULF COAST";"GULF COAST";2
"PREGNANT WOMEN";"PREGNANT WOMEN";1
"QUEERING REPRODUCTIVE";"QUEERING REPRODUCTIVE";5
"SEX EDUCATION";"SEX EDUCATION";1
"SOCIAL REPRODUCTION";"SOCIAL REPRODUCTION";2
"STRATIFIED REPRODUCTION";"STRATIFIED REPRODUCTION";1
"WOMENS EXPERIENCES";"WOMENS EXPERIENCES";1
"ACHIEVING REPRODUCTIVE";"ACHIEVING REPRODUCTIVE";1
"AFRICAN AMERICAN";"AFRICAN AMERICAN";2
"CHOICE IMPLICATIONS";"CHOICE IMPLICATIONS";1
"DRUG ADDICT";"DRUG ADDICT";1
"IRISH ABORTION";"IRISH ABORTION";2
"JUSTICE INTRODUCTION";"JUSTICE INTRODUCTION";1
"LESBIAN MOTHERHOOD";"LESBIAN MOTHERHOOD";1
"MIGRANT WOMEN";"MIGRANT WOMEN";1
"QUALITATIVE ANALYSIS";"QUALITATIVE ANALYSIS";1
"REPRODUCTIVE CHOICE";"REPRODUCTIVE CHOICE";1
"UNINTENDED PREGNANCY";"UNINTENDED PREGNANCY";3
"WOMENS REPRODUCTIVE";"WOMENS REPRODUCTIVE";1
"ZIKA VIRUS";"ZIKA VIRUS";1
"ACHIEVE REPRODUCTIVE";"ACHIEVE REPRODUCTIVE";1
"ADVANCE REPRODUCTIVE";"ADVANCE REPRODUCTIVE";2
"ADVANCING REPRODUCTIVE";"ADVANCING REPRODUCTIVE";1
"BLACK QUEER";"BLACK QUEER";1
"CERVICAL CANCER";"CERVICAL CANCER";2
"CHALLENGING WHITE";"CHALLENGING WHITE";3
"COALITION POLITICS";"COALITION POLITICS";4
"COLLECTIVE ACTION";"COLLECTIVE ACTION";1
"COMMITTEE OPINION";"COMMITTEE OPINION";4
"COMMON GROUND";"COMMON GROUND";4
"COMMUNITY HEALTH";"COMMUNITY HEALTH";1
"COMPREHENSIVE SEX";"COMPREHENSIVE SEX";4
"DISABILITY JUSTICE";"DISABILITY JUSTICE";5
"FAITH VOICES";"FAITH VOICES";3
"GENDER DIVERSE";"GENDER DIVERSE";2
"GENDERED RACISM";"GENDERED RACISM";1
"GESTATIONAL SURROGACY";"GESTATIONAL SURROGACY";2
"GIVING BIRTH";"GIVING BIRTH";3
"GLOBAL HEALTH";"GLOBAL HEALTH";1
"GLOBAL SOUTH";"GLOBAL SOUTH";2
"HANDMAIDS TALE";"HANDMAIDS TALE";2
"HARM REDUCTION";"HARM REDUCTION";2
"HEALTH LAW";"HEALTH LAW";1
"INTELLECTUAL DISABILITIES";"INTELLECTUAL DISABILITIES";5
"INTRAUTERINE DEVICE";"INTRAUTERINE DEVICE";4
"INTRODUCTION REPRODUCTIVE";"INTRODUCTION REPRODUCTIVE";2
"JACKSON WOMENS";"JACKSON WOMENS";4
"JUDGMENTS REPRODUCTIVE";"JUDGMENTS REPRODUCTIVE";3
"MONOLINGUAL FEMINISMS";"MONOLINGUAL FEMINISMS";3
"NTOZAKE SHANGES";"NTOZAKE SHANGES";4
"QUEERING FAMILY";"QUEERING FAMILY";1
"RACE CLASS";"RACE CLASS";3
"RACIAL JUSTICE";"RACIAL JUSTICE";4
"REPRODUCTIVE COERCION";"REPRODUCTIVE COERCION";2
"REPRODUCTIVE FREEDOM";"REPRODUCTIVE FREEDOM";3
"REPRODUCTIVE GOVERNANCE";"REPRODUCTIVE GOVERNANCE";5
"REPRODUCTIVE HEALTHCARE";"REPRODUCTIVE HEALTHCARE";2
"REPRODUCTIVE POLITICS";"REPRODUCTIVE POLITICS";5
"REPRODUCTIVE SURVEILLANCE";"REPRODUCTIVE SURVEILLANCE";6
"RESPECTFUL MATERNITY";"RESPECTFUL MATERNITY";1
"SEXUAL ACTIVITY";"SEXUAL ACTIVITY";3
"SEXUAL ASSAULT";"SEXUAL ASSAULT";1
"SOCIAL CONTROL";"SOCIAL CONTROL";2
"SOCIAL MEDIA";"SOCIAL MEDIA";4
"SOCIAL MOVEMENT";"SOCIAL MOVEMENT";2
"TRANSLATION CHALLENGING";"TRANSLATION CHALLENGING";3
"TRANSNATIONAL PERSPECTIVE";"TRANSNATIONAL PERSPECTIVE";5
"UNITED KINGDOM";"UNITED KINGDOM";1
"WHITE MONOLINGUAL";"WHITE MONOLINGUAL";3
"WHITE SUPREMACY";"WHITE SUPREMACY";3
"WOMENS PERCEPTIONS";"WOMENS PERCEPTIONS";1
"WOMENS RIGHTS";"WOMENS RIGHTS";2
"ACCESS EXPERIENCES";"ACCESS EXPERIENCES";2
"ADDRESSING STRUCTURAL";"ADDRESSING STRUCTURAL";5
"ADVANCE MATERNAL";"ADVANCE MATERNAL";4
"ADVANCING MATERNAL";"ADVANCING MATERNAL";3
"AFRICAN COUNTRIES";"AFRICAN COUNTRIES";1
"AMERICAN INDIAN";"AMERICAN INDIAN";2
"ANALYSIS BASED";"ANALYSIS BASED";3
"ARTIFICIAL WOMBS";"ARTIFICIAL WOMBS";2
"ASIA PACIFIC";"ASIA PACIFIC";6
"AUDIOAUTO BIOGRAPHY";"AUDIOAUTO BIOGRAPHY";6
"AUSTRALIA CREATING";"AUSTRALIA CREATING";1
"BABY GIRL";"BABY GIRL";4
"BAD SEED";"BAD SEED";3
"BIOPOLÍTICA DERECHOS";"BIOPOLÍTICA DERECHOS";2
"BIRTH STORIES";"BIRTH STORIES";4
"BIRTHING PERSONS";"BIRTHING PERSONS";1
"BLACK INDIGENOUS";"BLACK INDIGENOUS";4
"BLOOD QUANTUM";"BLOOD QUANTUM";3
"BODILY AUTONOMY";"BODILY AUTONOMY";5
"CAMPUS CRISIS";"CAMPUS CRISIS";4
"CATALISAR ESTRATÉGIAS";"CATALISAR ESTRATÉGIAS";1
"CATHARINE STIMPSON";"CATHARINE STIMPSON";1
"CATHOLIC CHURCH";"CATHOLIC CHURCH";2
"CATLETTS PRINTS";"CATLETTS PRINTS";6
"CENTERING COMMUNITY";"CENTERING COMMUNITY";2
"CENTRE CHOICE";"CENTRE CHOICE";4
"CENTURY AUSTRALIA";"CENTURY AUSTRALIA";1
"CHALLENGING SOUTH";"CHALLENGING SOUTH";5
"CHICANA FEMINISMS";"CHICANA FEMINISMS";4
"CHILDBEARING REPRODUCTIVE";"CHILDBEARING REPRODUCTIVE";2
"CHRONIC CONDITIONS";"CHRONIC CONDITIONS";1
"COLLABORATIVE AUTOETHNOGRAPHIC";"COLLABORATIVE AUTOETHNOGRAPHIC";6
"COLOR REPRODUCTIVE";"COLOR REPRODUCTIVE";3
"COMMERCIAL SURROGACY";"COMMERCIAL SURROGACY";6
"CONCEPT ANALYSIS";"CONCEPT ANALYSIS";1
"CONSERVATIVE BACKLASH";"CONSERVATIVE BACKLASH";3
"CONSERVATIVE LAESTADIAN";"CONSERVATIVE LAESTADIAN";2
"CONTEMPORARY PODCAST";"CONTEMPORARY PODCAST";6
"CONTEMPORARY REPRODUCTIVE";"CONTEMPORARY REPRODUCTIVE";1
"CONTEXTS COALITIONS";"CONTEXTS COALITIONS";3
"CONTROL ACCESS";"CONTROL ACCESS";2
"COUNSELING PSYCHOLOGY";"COUNSELING PSYCHOLOGY";3
"CRITICAL EXAMINATION";"CRITICAL EXAMINATION";6
"CRITICAL REVIEW";"CRITICAL REVIEW";1
"CRITICAL SOCIAL";"CRITICAL SOCIAL";4
"CROSS-SECTIONAL SURVEY";"CROSS-SECTIONAL SURVEY";4
"CULTURAL FACTORS";"CULTURAL FACTORS";1
"CULTURE WAR";"CULTURE WAR";4
"DA FECUNDIDADE";"DA FECUNDIDADE";4
"DALIT FEMINIST";"DALIT FEMINIST";4
"DE DESIGUALDAD";"DE DESIGUALDAD";1
"DE GESTÃO";"DE GESTÃO";4
"DE GOVERNO";"DE GOVERNO";4
"DE INCIDÊNCIA";"DE INCIDÊNCIA";1
"DE JUSTIÇA";"DE JUSTIÇA";1
"DE MULHERES";"DE MULHERES";4
"DEAF COMMUNITY";"DEAF COMMUNITY";4
"DERECHOS DE";"DERECHOS DE";2
"DESIGUALDAD RADICAL";"DESIGUALDAD RADICAL";1
"DIFFUSION NOTES";"DIFFUSION NOTES";6
"DISABILITY REPRODUCTIVE";"DISABILITY REPRODUCTIVE";5
"DISABILITY RIGHTS";"DISABILITY RIGHTS";5
"DISABILITY ROYAL";"DISABILITY ROYAL";5
"DISIDENTES REESCRIBEN";"DISIDENTES REESCRIBEN";2
"DOMESTIC VIOLENCE";"DOMESTIC VIOLENCE";3
"ECONOMIC GROWTH";"ECONOMIC GROWTH";4
"EL POSTHUMANISMO";"EL POSTHUMANISMO";6
"ELIZABETH CATLETTS";"ELIZABETH CATLETTS";6
"EM SAÚDE";"EM SAÚDE";4
"EMBODIED PRACTICES";"EMBODIED PRACTICES";4
"EMPOWERMENT BAE";"EMPOWERMENT BAE";1
"EN CIRCUNSTANCIAS";"EN CIRCUNSTANCIAS";1
"EN ECUADOR";"EN ECUADOR";2
"ESQUINA EXPLOTACIÓN";"ESQUINA EXPLOTACIÓN";6
"EXAMINING CONTEXT";"EXAMINING CONTEXT";2
"EXPANDING ACCESS";"EXPANDING ACCESS";1
"EXPLORATORY SURVEY";"EXPLORATORY SURVEY";3
"EXPLOTACIÓN REPRODUCTIVA";"EXPLOTACIÓN REPRODUCTIVA";6
"FAMILY TREES";"FAMILY TREES";4
"FEMALE NARRATIVES";"FEMALE NARRATIVES";5
"FICCIONES DISIDENTES";"FICCIONES DISIDENTES";2
"FOOD SOVEREIGNTY";"FOOD SOVEREIGNTY";2
"FORCED STERILIZATION";"FORCED STERILIZATION";6
"FOSTER CARE";"FOSTER CARE";2
"FRAN ROSSS";"FRAN ROSSS";3
"GENDER DISCOURSES";"GENDER DISCOURSES";6
"GENETIC TESTING";"GENETIC TESTING";1
"GEORGIA MEDICATION";"GEORGIA MEDICATION";2
"GESTÃO DA";"GESTÃO DA";4
"GESTATIONAL AGE";"GESTATIONAL AGE";1
"GLOBAL MARKET";"GLOBAL MARKET";3
"GLOBAL MOVEMENT";"GLOBAL MOVEMENT";1
"HAPPY MOTHERS";"HAPPY MOTHERS";6
"HEALTH CONSEQUENCES";"HEALTH CONSEQUENCES";1
"HEALTH EXPERIENCE";"HEALTH EXPERIENCE";1
"HIV PREVENTION";"HIV PREVENTION";4
"HORIZONTAL ELLIPSIS";"HORIZONTAL ELLIPSIS";2
"IA CALL";"IA CALL";1
"IMELDA REPRODUCTIVE";"IMELDA REPRODUCTIVE";4
"IMMIGRATION ENFORCEMENT";"IMMIGRATION ENFORCEMENT";2
"IMPERILED DIVERSITIES";"IMPERILED DIVERSITIES";3
"IMPLANT DISCONTINUATION";"IMPLANT DISCONTINUATION";3
"IMPROVE MATERNAL";"IMPROVE MATERNAL";1
"INCORPORATING REPRODUCTIVE";"INCORPORATING REPRODUCTIVE";4
