"";"SR";"TC";"PY";"TI";"AB";"DI";"DT"
"1";"ROSS LJ, 2017, SOULS";232;2017;"REPRODUCTIVE JUSTICE AS INTERSECTIONAL FEMINIST ACTIVISM";"REPRODUCTIVE JUSTICE ACTIVISTS HAVE DYNAMICALLY USED THE CONCEPT OF INTERSECTIONALITY AS A SOURCE OF EMPOWERMENT TO PROPEL ONE OF THE MOST IMPORTANT SHIFTS IN REPRODUCTIVE POLITICS IN RECENT HISTORY. IN THE TRADITION OF THE COMBAHEE RIVER COLLECTIVE, TWELVE BLACK WOMEN WORKING WITHIN AND OUTSIDE THE PRO-CHOICE MOVEMENT IN 1994 COINED THE TERM ``REPRODUCTIVE JUSTICE'' TO ``RECOGNIZE THE COMMONALITY OF OUR EXPERIENCES AND, FROM THE SHARING AND GROWING CONSCIOUSNESS, TO A POLITICS THAT WILL CHANGE OUR LIVES AND INEVITABLY END OUR OPPRESSION.'' ITS POPULARITY NECESSITATES AN EXAMINATION OF WHETHER REPRODUCTIVE JUSTICE IS STURDY ENOUGH TO BE ANALYZED AS A NOVEL CRITICAL FEMINIST THEORY AND A SURPRISING SUCCESS STORY OF PRAXIS THROUGH INTERSECTIONALITY. OFFERED TO THE INTELLECTUAL COMMONS OF INQUIRY, REPRODUCTIVE JUSTICE HAS IMPRESSIVELY BUILT BRIDGES BETWEEN ACTIVISTS AND THE ACADEMY TO STIMULATE THOUSANDS OF SCHOLARLY ARTICLES, GENERATE NEW WOMEN OF COLOR ORGANIZATIONS, AND PROMPT THE REORGANIZATION OF PHILANTHROPIC FOUNDATIONS. THIS ARTICLE DEFINES REPRODUCTIVE JUSTICE, EXAMINES ITS USE AS AN ORGANIZING AND THEORETICAL FRAMEWORK, AND DISCUSSES BLACK PATRIARCHAL AND FEMINIST THEORETICAL DISCOURSES THROUGH A REPRODUCTIVE JUSTICE LENS.";"10.1080/10999949.2017.1389634";"ARTICLE"
"2";"LUNA Z, 2013, ANNU REV LAW SOC SCI";224;2013;"REPRODUCTIVE JUSTICE";"THE AUTHORS EXAMINE THE DEVELOPMENT OF REPRODUCTIVE RIGHTS, A LAW-FOCUSED MOVEMENT, AND REPRODUCTIVE JUSTICE, A SOCIAL JUSTICE-AIMED MOVEMENT THAT EMPHASIZES INTERSECTING SOCIAL IDENTITIES (E. G., GENDER, RACE, AND CLASS) AND COMMUNITY-DEVELOPED SOLUTIONS TO STRUCTURAL INEQUALITIES. IN EXAMINING THE INTERTWINING HISTORIES OF THE REPRODUCTIVE HEALTH, REPRODUCTIVE RIGHTS, AND REPRODUCTIVE JUSTICE MOVEMENTS, WE CONSIDER THE RELATIONSHIP BETWEEN LAW AND SOCIAL MOVEMENTS, INCLUDING THE LIMITS OF LAW TO INFORM RADICAL SOCIAL MOVEMENTS. WE HIGHLIGHT HOW THE RELATIONSHIP BETWEEN SCHOLARSHIP AND ACTIVISM ON THE RIGHT TO NOT HAVE CHILDREN HAS EXPANDED TO INCLUDE NOTIONS OF THE RIGHT TO HAVE CHILDREN (E.G., FOR LOW-INCOME PEOPLE OR WITH THE AID OF TECHNOLOGY) AND THE RIGHT TO PARENT WITH DIGNITY (E. G., FOR INCARCERATED PEOPLE OR IN NONMEDICALIZED SETTINGS). WE END THE ARTICLE WITH A DISCUSSION OF BEST PRACTICES AND FUTURE DIRECTIONS FOR RESEARCH.";"10.1146/annurev-lawsocsci-102612-134037";"ARTICLE; BOOK CHAPTER"
"3";"DI CHIRO G, 2008, ENVIRON POLIT";167;2008;"LIVING ENVIRONMENTALISMS: COALITION POLITICS, SOCIAL REPRODUCTION, AND ENVIRONMENTAL JUSTICE";"THIS PAPER EXAMINES THE INTERSECTIONAL, COALITION POLITICS FORGED BY ACTIVISTS IN US ENVIRONMENTAL JUSTICE AND WOMEN'S RIGHTS ORGANISATIONS. THIS COALITIONAL POLITICS ARTICULATES ENVIRONMENTAL AND FEMINIST CONCERNS AND REJECTS THE LIMITATIONS OF A NARROW-FOCUSED POLITICS IN FAVOUR OF A MORE STRATEGIC, RELATIONAL VISION OF SOCIAL AND ENVIRONMENTAL CHANGE. FRAMED BY THE MARXIST-FEMINIST CONCEPT OF `SOCIAL REPRODUCTION', THE ANALYSIS ADDRESSES THE COMPLEX WAYS THAT GLOBALISED CAPITALISM HAS TRANSFORMED STATE AND CORPORATE RESPONSIBILITIES FOR SOCIAL REPRODUCTION. THE NEOLIBERAL POLICIES OF PRIVATISATION AND DEREGULATION HAVE ERODED THE ASSURANCE OF A LIVEABLE WAGE, AFFORDABLE HEALTHCARE, DECENT EDUCATION, BREATHABLE AIR, AND CLEAN WATER. DRAWING ON SEVERAL EXAMPLES FROM GRASSROOTS MOVEMENTS AND COMMUNITY-BASED ORGANISATIONS, THE ESSAY DISCUSSES HOW DIVERSE WOMEN ACTIVISTS CONCEPTUALLY LINK ENVIRONMENTAL JUSTICE AND REPRODUCTIVE RIGHTS ISSUES IN THEIR COMMUNITIES' STRUGGLES TO SUSTAIN EVERYDAY LIFE (OR, TO ACCOMPLISH `SOCIAL REPRODUCTION'). THE INNOVATIVE COALITION POLITICS OF ORGANISATIONS SUCH AS ASIAN COMMUNITIES FOR REPRODUCTIVE JUSTICE AND THE ENVIRONMENTAL JUSTICE AND CLIMATE CHANGE COALITION ARE GENERATING DYNAMIC `LIVING ENVIRONMENTALISMS' WITH ENOUGH POLITICAL VISION AND COMMUNITY `GROUNDEDNESS' TO BUILD BROADLY-BASED SOCIAL-ENVIRONMENTAL COLLABORATIONS THAT STAND A CHANCE AT COMPELLING PEOPLE TO TAKE STRONGER ACTION TO CURB PROBLEMS AS BIG AS GLOBAL WARMING.";"10.1080/09644010801936230";"ARTICLE"
"4";"HOOVER E, 2012, ENVIRON HEALTH PERSPECT";135;2012;"INDIGENOUS PEOPLES OF NORTH AMERICA: ENVIRONMENTAL EXPOSURES AND REPRODUCTIVE JUSTICE";"BACKGROUND: INDIGENOUS AMERICAN COMMUNITIES FACE DISPROPORTIONATE HEALTH BURDENS AND ENVIRONMENTAL HEALTH RISKS COMPARED WITH THE AVERAGE NORTH AMERICAN POPULATION. THESE HEALTH IMPACTS ARE ISSUES OF BOTH ENVIRONMENTAL AND REPRODUCTIVE JUSTICE. OBJECTIVES: IN THIS COMMENTARY, WE REVIEW FIVE INDIGENOUS COMMUNITIES IN VARIOUS STAGES OF ENVIRONMENTAL HEALTH RESEARCH AND DISCUSS THE INTERSECTION OF ENVIRONMENTAL HEALTH AND REPRODUCTIVE JUSTICE ISSUES IN THESE COMMUNITIES AS WELL AS THE LIMITATIONS OF LEGAL RECOURSE. DISCUSSION: THE HEALTH DISPARITIES IMPACTING LIFE EXPECTANCY AND REPRODUCTIVE CAPABILITIES IN INDIGENOUS COMMUNITIES ARE DUE TO A COMBINATION OF SOCIAL, ECONOMIC, AND ENVIRONMENTAL FACTORS. THE SYSTEM OF FEDERAL ENVIRONMENTAL AND INDIAN LAW IS INSUFFICIENT TO PROTECT INDIGENOUS COMMUNITIES FROM ENVIRONMENTAL CONTAMINATION. MANY COMMUNITIES ARE INTERESTED IN DEVELOPING APPROPRIATE RESEARCH PARTNERSHIPS IN ORDER TO DISCERN THE FULL IMPACT OF ENVIRONMENTAL CONTAMINATION AND PREVENT FURTHER DAMAGE. CONCLUSIONS: CONTINUED RESEARCH INVOLVING COLLABORATIVE PARTNERSHIPS AMONG SCIENTIFIC RESEARCHERS, COMMUNITY MEMBERS, AND HEALTH CARE PROVIDERS IS NEEDED TO DETERMINE THE IMPACTS OF THIS CONTAMINATION AND TO DEVELOP APPROACHES FOR REMEDIATION AND POLICY INTERVENTIONS.";"10.1289/ehp.1205422";"ARTICLE"
"5";"PRICE K, 2010, MERIDIANS";133;2010;"WHAT IS REPRODUCTIVE JUSTICE? HOW WOMEN OF COLOR ACTIVISTS ARE REDEFINING THE PRO-CHOICE PARADIGM";"FRUSTRATED BY THE INDIVIDUALIST APPROACH OF THE ``CHOICE'' PARADIGM USED BY THE MAINSTREAM REPRODUCTIVE RIGHTS MOVEMENT IN THE U.S., A GROWING COALITION OF WOMEN OF COLOR ORGANIZATIONS AND THEIR ALLIES HAVE SOUGHT TO REDEFINE AND BROADEN THE SCOPE OF REPRODUCTIVE RIGHTS BY USING A HUMAN RIGHTS FRAMEWORK. DUBBING ITSELF ``THE MOVEMENT FOR REPRODUCTIVE JUSTICE,'' THIS COALITION CONNECTS REPRODUCTIVE RIGHTS TO OTHER SOCIAL JUSTICE ISSUES SUCH AS ECONOMIC JUSTICE, EDUCATION, IMMIGRANT RIGHTS, ENVIRONMENTAL JUSTICE, SEXUAL RIGHT, AND GLOBALIZATION, AND BELIEVES THAT THIS NEW FRAMEWORK WILL ENCOURAGE MORE WOMEN OF COLOR AND OTHER MARGINALIZED GROUPS TO BECOME MORE INVOLVED IN THE POLITICAL MOVEMENT FOR REPRODUCTIVE FREEDOM. USING NARRATIVE ANALYSIS, THIS ESSAY EXPLORES WHAT REPRODUCTIVE JUSTICE MEANS TO THIS MOVEMENT, WHILE PLACING IT WITHIN THE POLITICAL, SOCIAL, AND CULTURAL CONTEXT FROM WHICH IT EMERGED.";"10.2979/meridians.2010.10.2.42";"ARTICLE"
"6";"BAILEY A, 2011, HYPATIA";104;2011;"RECONCEIVING SURROGACY: TOWARD A REPRODUCTIVE JUSTICE ACCOUNT OF INDIAN SURROGACY";"MY PROJECT HERE IS TO ARGUE FOR SITUATING MORAL JUDGMENTS ABOUT INDIAN SURROGACY IN THE CONTEXT OF REPRODUCTIVE JUSTICE. I BEGIN BY CRAFTING THE BEST PICTURE OF INDIAN SURROGACY AVAILABLE TO ME WHILE MARKING SOME WORRIES I HAVE ABOUT DISCURSIVE COLONIALISM AND EPISTEMIC HONESTY. WESTERN FEMINISTS' RESPONSES TO CONTRACT PREGNANCY FALL LOOSELY INTO TWO INTERRELATED MOMENTS: POST-BABY M DISCUSSIONS THAT FOCUS ON THE MORALITY OF SURROGACY WORK IN WESTERN CONTEXTS, AND FEMINIST BIOMEDICAL ETHNOGRAPHIES THAT FOCUS ON THE LIVED DIMENSIONS OF REPRODUCTIVE TECHNOLOGIES AND HOW THEY ARE EMBODIED AND NEGOTIATED IN SPECIFIC CULTURAL CONTEXTS. BOTH APPROACHES HAVE THEIR SHORTCOMINGS. UNCRITICALLY EXTENDING WESTERN MORAL FRAMEWORKS (FOR EXAMPLE, LIBERAL FEMINIST POLITICAL VALUES) TO INDIAN SURROGACY WORK RAISES THE SPECTER OF DISCURSIVE COLONIALISM; WITH IT, WORRIES ARISE ABOUT HOW WESTERN NORMATIVE TRADITIONS CAN DISTORT, ERASE, OR MISREAD NON-WESTERN SUBJECTS' LIVED EXPERIENCES. FEMINIST BIOMEDICAL ETHNOGRAPHIC APPROACHES CORRECT THIS, BUT RAISE THE SPECTER OF A WEAK MORAL ABSENTEEISM; WITH IT, CONCERNS ARISE ABOUT UNDER-THEORIZING THE STRUCTURAL HARMS AND INJUSTICES SHAPING SURROGACY WORKER'S LIVES. I SUGGEST THAT WE MIGHT REDUCE THESE SHORTCOMINGS BY FRAMING NORMATIVE AND ETHNOGRAPHIC ENGAGEMENT WITH GLOBAL SURROGACY AS QUESTIONS OF REPRODUCTIVE JUSTICE.";"10.1111/j.1527-2001.2011.01168.x";"ARTICLE"
"7";"ROBERTS D, 2013, DU BOIS REV";101;2013;"MOVEMENT INTERSECTIONALITY <I>THE CASE OF RACE</I>, <I>GENDER</I>, <I>DISABILITY</I>, <I>AND GENETIC TECHNOLOGIES</I>";"INTERSECTIONAL ANALYSIS NEED NOT FOCUS SOLELY ON DIFFERENCES WITHIN OR BETWEEN IDENTITY-BASED GROUPS. USING INTERSECTIONALITY FOR CROSS MOVEMENT MOBILIZATION REVEALS THAT, CONTRARY TO CRITICISM FOR BEING DIVISIVE, ATTENTION TO INTERSECTING IDENTITIES HAS THE POTENTIAL TO CREATE SOLIDARITY AND COHESION. IN THIS ARTICLE, WE ELABORATE THIS ARGUMENT WITH A CASE STUDY OF THE INTERSECTION OF RACE, GENDER, AND DISABILITY IN GENETIC TECHNOLOGIES AS WELL AS IN ORGANIZING TO PROMOTE A SOCIAL JUSTICE APPROACH TO THE USE OF THESE TECHNOLOGIES. WE SHOW HOW ORGANIZING BASED ON AN INTERSECTIONAL ANALYSIS CAN HELP FORGE ALLIANCES BETWEEN REPRODUCTIVE JUSTICE, RACIAL JUSTICE, WOMEN'S RIGHTS, AND DISABILITY RIGHTS ACTIVISTS TO DEVELOP STRATEGIES TO ADDRESS REPRODUCTIVE GENETIC TECHNOLOGIES. WE USE THE WORK OF GENERATIONS AHEAD TO ILLUMINATE HOW INTERSECTIONALITY APPLIED AT THE MOVEMENT-BUILDING LEVEL CAN IDENTIFY GENUINE COMMON GROUND, CREATE AUTHENTIC ALLIANCES, AND MORE EFFECTIVELY ADVOCATE FOR SHARED POLICY PRIORITIES.";"10.1017/S1742058X13000210";"ARTICLE"
"8";"BRANDI K, 2020, AM J OBSTET GYNECOL";86;2020;"THE HISTORY OF TIERED-EFFECTIVENESS CONTRACEPTIVE COUNSELING AND THE IMPORTANCE OF PATIENT-CENTERED FAMILY PLANNING CARE";"PUBLIC HEALTH WORKERS, CLINICIANS, AND RESEARCHERS HAVE TRIED TO INCREASE LONG-ACTING REVERSIBLE CONTRACEPTIVE (LARC) USE BY CHANGING CONTRACEPTIVE COUNSELING BETWEEN PATIENTS AND PROVIDERS. SEVERAL MAJOR HEALTH ORGANIZATIONS NOW RECOMMEND TIERED-EFFECTIVENESS COUNSELING, IN WHICH THE MOST EFFECTIVE METHODS ARE EXPLAINED FIRST SO THAT PATIENTS CAN USE INFORMATION ABOUT THE RELATIVE EFFICACY OF CONTRACEPTIVE METHODS TO MAKE AN INFORMED CHOICE. SOME SCHOLARS AND PRACTITIONERS HAVE RAISED CONCERNS THAT, GIVEN HISTORIES OF INEQUITABLE TREATMENT AND COERCION IN REPRODUCTIVE HEALTH CARE, TIERED-EFFECTIVENESS COUNSELING MAY UNDERMINE PATIENT AUTONOMY AND CHOICE. THIS CLINICAL OPINION EXAMINES THE DEVELOPMENT OF TIERED-EFFECTIVENESS CONTRACEPTIVE COUNSELING, HOW ITS RISE MIRRORED THE FOCUS ON PROMOTING LARC TO DECREASE THE UNINTENDED PREGNANCY RATE, AND KEY CONSIDERATIONS AND THE POTENTIAL CONFLICTS OF A LARC-FIRST MODEL WITH PATIENT-CENTERED CARE. FINALLY, WE DISCUSS HOW REPRODUCTIVE JUSTICE AND SHARED DECISION MAKING CAN GUIDE EFFORTS TO PROVIDE PATIENT-CENTERED CONTRACEPTIVE CARE.";"10.1016/j.ajog.2019.11.1271";"ARTICLE"
"9";"HARRIS LH, 2014, CURR OPIN OBSTET GYNECOL";78;2014;"STRATIFIED REPRODUCTION, FAMILY PLANNING CARE AND THE DOUBLE EDGE OF HISTORY";"PURPOSE OF REVIEW THERE IS A GROWING CLINICAL CONSENSUS THAT MEDICAID STERILIZATION CONSENT PROTECTIONS SHOULD BE REVISITED BECAUSE THEY IMPEDE DESIRED CARE FOR MANY WOMEN. HERE, WE CONSIDER THE BROAD SOCIAL AND IDEOLOGICAL CONTEXTS FOR PAST STERILIZATION ABUSES, BEYOND INFORMED CONSENT. RECENT FINDINGS THROUGHOUT THE US HISTORY, THE FERTILITY AND CHILDBEARING OF POOR WOMEN AND WOMEN OF COLOR WERE NOT VALUED EQUALLY TO THOSE OF AFFLUENT WHITE WOMEN. THIS IS EVIDENT IN A RANGE OF PRACTICES AND POLICIES, INCLUDING BLACK WOMEN'S TREATMENT DURING SLAVERY, REMOVAL OF NATIVE CHILDREN TO OFF-RESERVATION BOARDING SCHOOLS AND COERCIVE STERILIZATIONS OF POOR WHITE WOMEN AND WOMEN OF COLOR. THUS, REPRODUCTIVE EXPERIENCES THROUGHOUT THE US HISTORY WERE STRATIFIED. THIS IDEOLOGY OF STRATIFIED REPRODUCTION PERSISTS TODAY IN SOCIAL WELFARE PROGRAMS, DRUG POLICY AND PROGRAMS PROMOTING LONG-ACTING REVERSIBLE CONTRACEPTION. SUMMARY AT THEIR CORE, STERILIZATION ABUSES REFLECTED AN IDEOLOGY OF STRATIFIED REPRODUCTION, IN WHICH SOME WOMEN'S FERTILITY WAS DEVALUED COMPARED TO OTHER WOMEN'S FERTILITY. REVISITING MEDICAID STERILIZATION REGULATIONS MUST THEREFORE PUT ISSUES OF RACE, ETHNICITY, CLASS, POWER AND RESOURCES NOT JUST INFORMED CONSENT AT THE CENTER OF ANALYSES.";"10.1097/GCO.0000000000000121";"REVIEW"
"10";"LUNA Z, 2016, GEND SOC";75;2016;"``TRULY A WOMEN OF COLOR ORGANIZATION'': NEGOTIATING SAMENESS AND DIFFERENCE IN PURSUIT OF INTERSECTIONALITY";"RESEARCH ON THE U.S. WOMEN'S MOVEMENT HAS DOCUMENTED THE DIFFICULTIES OF CROSS-RACIAL WORK BETWEEN WHITE WOMEN AND WOMEN OF RACIAL/ETHNIC MINORITIES. LESS UNDERSTOOD IS HOW RACIAL/ETHNIC MINORITIES DO CROSS-RACIAL WORK AMONG THEMSELVES TO CONSTRUCT A COLLECTIVE IDENTITY OF WOMEN OF COLOR THAT ENCOURAGES SOLIDARITY ACROSS RACE, CLASS, AND OTHER STATUSES. DRAWING ON RESEARCH FROM THE REPRODUCTIVE JUSTICE MOVEMENT, I EXAMINE HOW WOMEN OF COLOR ORGANIZATIONS THAT STRIVE FOR INTERSECTIONAL PRAXIS NEGOTIATE SAMENESS AND DIFFERENCE. I IDENTIFY TWO DIFFERENT LOGICS AT WORK WITHIN WOMEN OF COLOR ORGANIZATIONS: THE FIRST RELIES ON A PRESUMPTION OF SAME DIFFERENCE THAT EMPHASIZES SIMILAR EXPERIENCES OF GENDER AND RACE OPPRESSION; THE SECOND ACCORDS GREATER RECOGNITION TO THE DIFFERENCE-IN-SAMENESS THAT STRUCTURES CONSTITUENTS' LIVED EXPERIENCES. WHILE THE FORMER CAN REPRODUCE PRECISELY THOSE FORMS OF SILENCING AND EXCLUSION THAT WOMEN OF COLOR ORGANIZATIONS SEEK TO CHALLENGE, THE SECOND REMAINS A (NECESSARILY) ONGOING PROCESS. THE ARTICLE CONCLUDES THAT WOMEN OF COLOR ORGANIZATIONS MUST STRIVE CONTINUOUSLY TO ACTIVELY NEGOTIATE, RATHER THAN ASSUME, COMMONALITY IF THEY ARE TO AVOID REPRODUCING VARIOUS FORMS OF MARGINALIZATION AND INEQUALITY.";"10.1177/0891243216649929";"ARTICLE"
