TERMOS;OBSERVA��O (CARACTERES);EXLCUIR;sin�nimo (categoria);Frequency
REPRODUCTIVE JUSTICE;;1;;488
REPRODUCTIVE HEALTH;;;;61
HEALTH CARE;;;HEALTH CARE;24
REPRODUCTIVE RIGHTS;;;;24
LONG-ACTING REVERSIBLE;;;LONG-ACTING REVERSIBLE;20
REPRODUCTIVE INJUSTICE;;;;19
REVERSIBLE CONTRACEPTION;;;LONG-ACTING REVERSIBLE;18
FAMILY PLANNING;;;;17
BLACK WOMEN;;;BLACK LIVES;15
ABORTION RIGHTS;;;ABORTION STUDY;14
MENTAL HEALTH;;;;13
QUALITATIVE STUDY;;1;;13
CONTRACEPTIVE COUNSELING;;;CONTRACEPTION CARE;12
JUSTICE FRAMEWORK;;;;12
ABORTION ACCESS;;;ABORTION STUDY;11
SCOPING REVIEW;;1;;11
ABORTION CARE;;;ABORTION STUDY;10
HUMAN RIGHTS;;;;10
JUSTICE APPROACH;;;;10
WOMENS HEALTH;;;;10
JUSTICE LENS;;;;9
OBSTETRIC VIOLENCE;;;;9
SOCIAL JUSTICE;;;;9
AMERICAN WOMEN;;;;8
HEALTH EQUITY;;;EQUITY ADDRESSING;8
MEDICATION ABORTION;;;;8
NORTHERN IRELAND;;;;8
REPRODUCTIVE OPPRESSION;;;;8
SEXUAL HEALTH;;;;8
ENVIRONMENTAL JUSTICE;;;ENVIRONMENTAL JUSTICE;7
ENVIRONMENTAL REPRODUCTIVE;;;ENVIRONMENTAL JUSTICE;7
INDIGENOUS WOMEN;;;;7
PRIMARY CARE;;;HEALTH CARE;7
PUBLIC HEALTH;;;HEALTH ISSUE;7
REPRODUCTIVE AUTONOMY;;;;7
REPRODUCTIVE TECHNOLOGIES;;;ASSISTED REPRODUCTION;7
SOUTH AFRICA;;;;7
ABORTION LAW;;;ABORTION STUDY;6
ABORTION LAWS;;;ABORTION STUDY;6
BIRTH CONTROL;;;;6
BLACK WOMENS;;;BLACK LIVES;6
CLIMATE CHANGE;;;CLIMATE CHANGE;6
COVID- PANDEMIC;;;COVID- PANDEMIC;6
CRISIS PREGNANCY;;;REPRODUCTIVE HEALTH;6
DISABLED PEOPLE;;;;6
HEALTH INEQUITIES;;;EQUITY ADDRESSING;6
INFANT MORTALITY;;;CHILD CHALLENGING;6
JUSTICE ACTIVISM;;;ACTIVIST KNOWLEDGES;6
JUSTICE PERSPECTIVE;;;;6
MATERNAL HEALTH;;;REPRODUCTIVE HEALTH;6
MATERNITY CARE;;;REPRODUCTIVE HEALTH;6
NATIVE AMERICAN;;;;6
REPRODUCTIVA EN;;1;;6
REPRODUCTIVE CARE;;;;6
TEACHING REPRODUCTIVE;;;;6
TWENTY-FIRST CENTURY;;;;6
ASSISTED REPRODUCTIVE;;;ASSISTED REPRODUCTION;5
BIRTH JUSTICE;;;BIRTH JUSTICE;5
BIRTHING PEOPLE;;;;5
BLACK MOTHERS;;;BLACK MOTHERS;5
CHILD HEALTH;;;CHILD CHALLENGING;5
CONTRACEPTIVE CARE;;;CONTRACEPTION CARE;5
GULF COAST;;;;5
HEALTH RIGHTS;;;HEALTH JUSTICE;5
JUSTIÇA REPRODUTIVA;;1;;5
JUSTICE ANALYSIS;;;;5
PERINATAL HEALTH;;;REPRODUCTIVE HEALTH;5
PREGNANT WOMEN;;;;5
QUEERING REPRODUCTIVE;;;;5
REPRODUCTIVE JUSTICEI;;1;;5
SOCIAL REPRODUCTION;;;;5
STRATIFIED REPRODUCTION;;;;5
WOMENS EXPERIENCES;;;;5
ABORTION ACTIVISM;;;ABORTION STUDY;4
ABORTION FUND;;;ABORTION STUDY;4
ABORTION POLITICS;;;ABORTION STUDY;4
ACHIEVING REPRODUCTIVE;;;;4
AFRICAN AMERICAN;;;;4
ASSISTED REPRODUCTION;;;ASSISTED REPRODUCTION;4
BLACK BIRTHING;;;BLACK BIRTH;4
BLACK FEMINIST;;;BLACK FEMINISM;4
CLINICAL CARE;;;HEALTH CARE;4
HEALTH DISPARITIES;;;HEALTH JUSTICE;4
HEALTH JUSTICE;;;HEALTH JUSTICE;4
HEALTH POLICY;;;HEALTH CARE;4
INDIGENOUS REPRODUCTIVE;;;;4
INFANT HEALTH;;;CHILD CHALLENGING;4
IRISH ABORTION;;;;4
JUSTICIA REPRODUCTIVA;;1;;4
MIGRANT WOMEN;;;;4
POSTPARTUM LONG-ACTING;;;LONG-ACTING REVERSIBLE ;4
PREGNANCY CENTERS;;;REPRODUCTIVE HEALTH;4
QUALITATIVE ANALYSIS;;;;4
REPRODUCTIVE CHOICE;;;;4
SYSTEMATIC REVIEW;;1;;4
WOMENS REPRODUCTIVE;;;;4
ABORTION BAN;;;ABORTION STUDY;3
ABORTION DEBATE;;;ABORTION STUDY;3
ABORTION SERVICES;;;ABORTION STUDY;3
ACHIEVE REPRODUCTIVE;;;;3
ADOLESCENT PREGNANCY;;;ADDRESSING TEENAGE;3
ADVANCE REPRODUCTIVE;;;;3
ADVANCING REPRODUCTIVE;;;;3
BLACK MATERNAL;;;BLACK MOTHERS;3
CERVICAL CANCER;;;;3
CHALLENGING WHITE;;;;3
CLIMATE CRISIS;;;CLIMATE CHANGE;3
COALITION POLITICS;;;;3
COLLECTIVE ACTION;;;;3
COMMITTEE OPINION;;;;3
COMMON GROUND;;;;3
COMMUNITY HEALTH;;;;3
DE LA;;1;;3
DISABILITY JUSTICE;;;;3
EGG FREEZING;;;ASSISTED REPRODUCTION;3
ETHICAL CONSIDERATIONS;;;ETHICAL ISSUES;3
ETHICAL ISSUES;;;ETHICAL ISSUES;3
FAITH VOICES;;;;3
FEMINIST JUDGMENTS;;;ACTIVIST KNOWLEDGES;3
GENDER DIVERSE;;;;3
GENDERED RACISM;;;;3
GESTATIONAL SURROGACY;;;;3
GIVING BIRTH;;;;3
GLOBAL HEALTH;;;;3
GLOBAL SOUTH;;;;3
HARM REDUCTION;;;;3
HEALTH FRAMEWORK;;;HEALTH RESEARCH;3
HEALTH LAW;;;;3
HEALTH SYSTEM;;;HEALTH CARE;3
HORMONAL CONTRACEPTION;;;HORMONAL CONTRACEPTIVE;3
IMMIGRATION DETENTION;;;ABOLITION POLITICS;3
INDIGENOUS TRIBE;;;;3
INFANT MENTAL;;;CHILD CHALLENGING;3
INTELLECTUAL DISABILITIES;;;;3
INTRAUTERINE DEVICE;;;;3
INTRODUCTION REPRODUCTIVE;;;;3
JACKSON WOMENS;;;;3
JUDGMENTS REPRODUCTIVE;;;;3
JUSTICE ADVOCACY;;;ACTIVIST KNOWLEDGES;3
JUSTICE ISSUE;;;;3
JUSTICE MODEL;;;;3
JUSTICE MOVEMENTS;;;;3
JUSTICE REWRITTEN;;;;3
