ID,Title,Authors,Source,Journal,Database,Type,Language,Publication year,Descriptor(s),Keyword(s),Publication Country,Fulltext URL, Abstract,Entry Date,Volume number,Issue number,DOI,ISSN,Accession number,PMCID
"mdl-38309123","Navigating a maze: Midwives' identity response to the enactment of an abortion law in Chile.","Carvajal, Bielka; White, Helen; Brooks, Jane; Thomson, Ann M; Cooke, Alison","Midwifery;131: 103938, 2024 Apr. ","Midwifery","MEDLINE","article","en","2024","Aborto Induzido; Aborto Espontâneo; Tocologia; Enfermeiros Obstétricos; Gravidez; Feminino; Humanos; Tocologia/métodos; Chile; Atitude do Pessoal de Saúde; Pesquisa Qualitativa","Chile; Induced abortion; Midwifery; Professional identity formation; Public policy","GB","https://dx.doi.org/10.1016/j.midw.2024.103938","BACKGROUND: Chilean midwives have been identified as essential for successfully implementing an abortion law, a practice which could potentially be understood as contradicting their central mission. Nevertheless, to date, there has been no investigation into how Chilean midwives have incorporated induced abortion care provision into their professional identity. OBJECTIVE: To elucidate how Chilean midwives understand and provide abortion care and how they have (re)defined their professional identity to include induced abortion care. This article reports the findings of the second part of this aim. METHODS: This study was underpinned by a constructivist grounded theory methodology informed by a reproductive justice and feminist perspective. Midwives from Chile who have cared for women undergoing abortion were invited to participate in the study. After purposive and theoretical sampling, fifteen midwives were recruited. FINDINGS: Midwives' identity is woman-centred, with high value placed on their role protecting life. These two aspects of midwives' identity are in contradiction when providing abortion care. Midwives' identity results from and informs midwives' practice. Midwifery regulation influences both practice and identity. The model 'Navigating a maze' explains the interaction of these three elements. CONCLUSION: Midwives' identity response to the enactment of the Chilean abortion law is an example of how professional identity must navigate regulation and practice to make sense of its purpose. In light of this study's findings, the current tension experienced in midwives' identity should be carefully attended to prevent adverse outcomes for midwives and the Chilean population.",20240203,131,,10.1016/j.midw.2024.103938,1532-3099,,
"mdl-38308316","Menarche and reproductive health in Spanish Roma women from a reproductive justice perspective: a qualitative study.","Rodríguez-Camacho, María Félix; Sanchís-Ramón, María José; Ortiz-Barreda, Gaby; La Parra-Casado, Daniel; Gil-González, Diana","Reprod Health;21(1): 17, 2024 Feb 02. ","Reprod Health","MEDLINE","article","en","2024","Menarca; Roma (Grupo Étnico); Adolescente; Feminino; Humanos; Menstruação; Pesquisa Qualitativa; Saúde Reprodutiva; Adulto Jovem; Adulto; Pessoa de Meia-Idade; Idoso","Menarche; Menstrual health; Reproductive health; Reproductive justice; Roma women","GB","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10837920","OBJECTIVES: This study aimed to explore the perceptions of Roma women about their experience of menarche and reproductive health considering the principles of reproductive justice. DESIGN: Qualitative study based on semi-structured interviews with Roma women ages 18 through 67 in different neighborhoods in the southeast of Spain. Using a thematic analysis, we analyzed experiences related to menarche and menstruation and their significance for reproductive health, the preparation for the phase of menarche and intergenerational support. RESULTS: The Roma women interviewed shared their approach to the experiences of menarche and menstruation as children in their family environments with a focus on access to information provided by other women in the family and community for reproductive health management. In their discourses we observed that the onset of menstruation supposes a rupture in the public and private spaces of girls and women. CONCLUSIONS: The results of this study suggest that women and girls do not gain access to information that contributes to their reproductive wellbeing through their experience of menarche. Access to resources and skills to manage biological changes in adolescents could contribute to reducing the impact of cultural myths, false ideas and taboos that prevent advocacy and empowerment on issues of reproductive justice.",20240202,21,1,10.1186/s12978-023-01726-5,1742-4755,,
"mdl-38237165","Permanent Contraception: Ethical Issues and Considerations: ACOG Committee Statement No. 8.","","Obstet Gynecol;143(2): e31-e39, 2024 Feb 01. ","Obstet Gynecol","MEDLINE","article","en","2024","Anticoncepção; Identidade de Gênero; Feminino; Humanos; Masculino; Gravidez; Coerção; Anticoncepção/métodos; Período Pós-Parto; Reprodução; Ética","","US","https://dx.doi.org/10.1097/AOG.0000000000005474","Permanent contraception is the most used method of contraception among women aged 15-49 years and is one of the most straightforward surgical procedures an obstetrician-gynecologist can perform. At the same time, this therapeutic option is enormously complex when considered from a historical, sociological, or ethical perspective. This Committee Statement reviews ethical issues related to permanent contraception using a reproductive justice framework. Ethical counseling and shared decision making for permanent contraception should adopt a nonjudgmental, patient-centered approach, using up-to-date information about permanent contraception procedures and alternatives. Obstetrician-gynecologists should strive to avoid bringing into the clinical encounter biases around gender, race, age, and class that affect thoughts on who should or should not become a parent. Obstetrician-gynecologists should also ensure that permanent contraception requests reflect each patient's wishes, come from a desire to permanently end childbearing, and come from a preference for permanent contraception over all reversible methods as well as permanent contraception for the male partner. When difficulties in meeting a postpartum permanent contraception request are anticipated and permanent contraception is desired by the patient, transfer of care for the remainder of pregnancy should be offered. ACOG recognizes the right of all patients to unimpeded access to permanent contraception as a way of ensuring health equity, but it is unclear how to craft policies that protect from coercion but also do not create barriers to autonomously desired care. Determining the ethical balance between access and safeguards will require a collaborative interdisciplinary approach that involves a variety of stakeholders with varying perspectives.",20240118,143,2,10.1097/AOG.0000000000005474,1873-233X,,
"mdl-38163377","Respectful Maternity Care : A Systematic Review.","Cantor, Amy G; Jungbauer, Rebecca M; Skelly, Andrea C; Hart, Erica L; Jorda, Katherine; Davis-O'Reilly, Cynthia; Caughey, Aaron B; Tilden, Ellen L","Ann Intern Med;177(1): 50-64, 2024 01. ","Ann Intern Med","MEDLINE","article","en","2024","Serviços de Saúde Materna; Obstetrícia; Lactente; Gravidez; Feminino; Humanos; Respeito; Parto Obstétrico; Período Pós-Parto; Qualidade da Assistência à Saúde","","US","https://dx.doi.org/10.7326/M23-2676","BACKGROUND: Severe maternal morbidity and mortality are worse in the United States than in all similar countries, with the greatest effect on Black women. Emerging research suggests that disrespectful care during childbirth contributes to this problem. PURPOSE: To conduct a systematic review on definitions and valid measurements of respectful maternity care (RMC), its effectiveness for improving maternal and infant health outcomes for those who are pregnant and postpartum, and strategies for implementation. DATA SOURCES: Systematic searches of Ovid Medline, CINAHL, Embase, Cochrane Central Register of Controlled Trials, PsycInfo, and SocINDEX for English-language studies (inception to July 2023). STUDY SELECTION: Randomized controlled trials and nonrandomized studies of interventions of RMC versus usual care for effectiveness studies; additional qualitative and noncomparative validation studies for definitions and measurement studies. DATA EXTRACTION: Dual data abstraction and quality assessment using established methods, with resolution of disagreements through consensus. DATA SYNTHESIS: Thirty-seven studies were included across all questions, of which 1 provided insufficient evidence on the effectiveness of RMC to improve maternal outcomes and none studied RMC to improve infant outcomes. To define RMC, authors identified 12 RMC frameworks, from which 2 main concepts were identified: disrespect and abuse and rights-based frameworks. Disrespect and abuse components focused on recognizing birth mistreatment; rights-based frameworks incorporated aspects of reproductive justice, human rights, and antiracism. Five overlapping framework themes include freedom from abuse, consent, privacy, dignity, communication, safety, and justice. Twelve tools to measure RMC were validated in 24 studies on content validity, construct validity, and internal consistency, but lack of a gold standard limited evaluation of criterion validity. Three tools specific for RMC had at least 1 study demonstrating consistency internally and with an intended construct relevant to U.S. settings, but no single tool stands out as the best measure of RMC. LIMITATIONS: No studies evaluated other health outcomes or RMC implementation strategies. The lack of definition and gold standard limit evaluation of RMC tools. CONCLUSION: Frameworks for RMC are well described but vary in their definitions. Tools to measure RMC demonstrate consistency but lack a gold standard, requiring further evaluation before implementation in U.S. settings. Evidence is lacking on the effectiveness of implementing RMC to improve any maternal or infant health outcome. PRIMARY FUNDING SOURCE: Agency for Healthcare Research and Quality. (PROSPERO: CRD42023394769).",20240101,177,1,10.7326/M23-2676,1539-3704,,
"mdl-38216418","Perinatal health framework for people with intellectual disability.","Brown, Hilary K; Mitra, Monika","Disabil Health J;17(2): 101576, 2024 Apr. ","Disabil Health J","MEDLINE","article","en","2024","Pessoas com Deficiência; Deficiência Intelectual; Gravidez; Feminino; Humanos; Deficiência Intelectual/psicologia; Pessoas com Deficiência/psicologia; Comportamentos Relacionados com a Saúde; Apoio Social; Adaptação Psicológica","Intellectual disability; Pregnancy; Pregnancy care","US","https://dx.doi.org/10.1016/j.dhjo.2023.101576","We propose a framework for guiding research on perinatal health in people with intellectual disability (ID). We developed this framework based on the perinatal health framework for people with physical disabilities, American Association on Intellectual and Developmental Disabilities conceptual framework of human functioning, disability reproductive justice framework, trauma-informed care, and socio-ecological model. The framework reflects health outcomes of birthing people with ID and their infants that result from interactions of factors across the life course at policy (health, social, and disability policies), community (attitudes, social and physical environment), institutional (health care delivery-related factors, access to information/resources), interpersonal (social determinants of health/histories of trauma, social support, interactions with service-providers), and individual levels (demographics, intellectual functioning, adaptive behavior, health conditions, genetic factors, psychosocial factors, health behaviors). This framework will facilitate research to identify factors leading to perinatal health disparities in people with ID and development and evaluation of resources to address them.",20240112,17,2,10.1016/j.dhjo.2023.101576,1876-7583,,
"mdl-38254076","Programs and practices that support pregnant people who use drugs' access to sexual and reproductive health care in Canada: a scoping review.","Mathias, Holly; Foster, Lesley Ann; Rushton, Ashleigh","BMC Pregnancy Childbirth;24(1): 72, 2024 Jan 22. ","BMC Pregnancy Childbirth","MEDLINE","article","en","2024","Saúde Reprodutiva; Transtornos Relacionados ao Uso de Substâncias; Criança; Feminino; Gravidez; Humanos; Comportamento Sexual; Reprodução; Canadá","Harm reduction; Health services; Reproductive health; Reproductive justice; Substance use","GB","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10804510","BACKGROUND: Pregnant people who use unregulated drugs (PPWUD) are at high risk of health complications yet experience a range of barriers to sexual and reproductive health care. Given that improving maternal health and access to reproductive health care are key targets underpinning the Sustainable Development Goals (SDG), there is an urgent need to improve access to appropriate supports and services for this population. Little is known about what programs and practices exist to support PPWUD's access to sexual and reproductive health care. This scoping review aimed to identify the available literature on these programs and practices in Canada. METHODS: A scoping review was conducted using JBI methodology and reported using PRISMA guidelines. Scholarly databases and grey literature sources were searched to identify literature published between 2016-2023 in English or French that discussed, defined, conceptualised, or evaluated programs and practices that support PPWUD's access to sexual and reproductive health care in Canada. Identified literature was screened using Covidence. Data were extracted from included texts, then analysed descriptively. Frequencies and key concepts were reported. RESULTS: A total of 71 articles were included, most of which were grey literature. Of the total, 46 unique programs were identified, as well as several useful practices. Most programs were in urban centres in Western Canada, and most programs offered holistic 'wrap-around services.' Several programs delivered these services on-site or as 'drop-in' programs with the support of staff with lived/living experience of substance use. Most frequent program outcomes included keeping parents and children together, improving connection to other services, and reducing substance use harms. Noted helpful practices included non-judgmental care and the use of harm-reduction strategies. CONCLUSIONS: Several programs and practices that support PPWUD exist in Canada, though few focus exclusively on sexual and reproductive health. There remain opportunities to improve access to programs, including expanding geographic availability and range of services. The review has clinical application by providing an overview of available programs that may support clinicians in identifying services for PPWUD. Future research should consider client perspectives and experiences of these programs. REVIEW REGISTRATION NUMBER: Open Science Framework https://osf.io/5y64j .",20240123,24,1,10.1186/s12884-023-06225-w,1471-2393,,
"mdl-38183620","Giving Birth With a Midwife in Attendance: Associations of Race and Insurance Status With Continuity of Midwifery Care in Philadelphia.","Millatt, Amanda; Trout, Kimberly K; Ledyard, Rachel; Brunk, Susan E; Ruggieri, Dominique G; Bates, Lesley; Mullin, Anne M; Burris, Heather H","J Midwifery Womens Health;69(4): 514-521, 2024. ","J Midwifery Womens Health","MEDLINE","article","en","2024","Continuidade da Assistência ao Paciente; Cobertura do Seguro; Tocologia; Cuidado Pré-Natal; Adulto; Feminino; Humanos; Gravidez; Adulto Jovem; Negro ou Afro-Americano; Estudos de Coortes; Continuidade da Assistência ao Paciente/estatística & dados numéricos; Cobertura do Seguro/estatística & dados numéricos; Seguro Saúde/estatística & dados numéricos; Tocologia/estatística & dados numéricos; Enfermeiros Obstétricos/estatística & dados numéricos; Philadelphia; Cuidado Pré-Natal/estatística & dados numéricos; Estudos Retrospectivos; Brancos","and race equity; antiracism; community health; pregnancy complications; racism; reproductive justice","US","https://dx.doi.org/10.1111/jmwh.13604","INTRODUCTION: From 2013 to 2019, Black women comprised 73% of pregnancy-related deaths in Philadelphia. There is currently a dearth of research on the continuity of midwifery care from initiation of prenatal care through birth in relation to characteristics such as race/ethnicity and income. The aim of this study was to investigate whether race/ethnicity and insurance status were associated with the likelihood of a pregnant person who begins prenatal care with a midwife to remain in midwifery care for birth attendance. METHODS: This was a retrospective cohort study of a diverse population of pregnant patients who gave birth in a large tertiary care hospital and had their first prenatal visit with a certified nurse-midwife (CNM) between June 2, 2009, and June 30, 2020 (n = 5121). We used multivariable, log-binomial regression models to calculate risk ratios of transferring to physician care (vs remaining within CNM care), adjusted for age, race/ethnicity, prepregnancy body mass index, insurance type, and comorbidities. RESULTS: After adjusting for pregnancy-related risk factors, non-Hispanic Black patients (adjusted relative risk [aRR], 1.14; 95% CI, 1.04-1.24) and publicly insured patients (aRR, 1.11; 95% CI, 1.01-1.22) were at higher risk of being transferred to physician care compared with non-Hispanic White and privately insured patients. Secondary analysis revealed that non-Hispanic Black patients had higher risk of transferring and having an operative birth (aRR, 1.35; 95% CI, 1.18-1.55), whereas publicly insured patients were at higher risk of being transferred for reasons other than operative births (aRR, 1.35; 95% CI, 1.18-1.54). DISCUSSION: These findings indicate that Black and publicly insured patients were more likely than White and privately insured patients to transfer to physician care even after adjustment for comorbid conditions. Thus, further research is needed to identify the factors that contribute to racial and economic disparity in continuity of midwifery care.",20240106,69,4,10.1111/jmwh.13604,1542-2011,,
"mdl-38253494","Communication and Birth Experiences Among Black Birthing People Who Experienced Preterm Birth.","Gregory, Emily F; Johnson, Geminesse T; Barreto, Alejandra; Zakama, Arthurine K; Maddox, Adya I; Levine, Lisa D; Lorch, Scott A; Fiks, Alexander G; Cronholm, Peter F","Ann Fam Med;22(1): 31-36, 2024. ","Ann Fam Med","MEDLINE","article","en","2024","Nascimento Prematuro; Recém-Nascido; Lactente; Estados Unidos; Feminino; Gravidez; Humanos; Recém-Nascido Prematuro; Comunicação; Acessibilidade aos Serviços de Saúde; Medicaid","African American; Black; Black birthing people; birth trauma; health communication; interconception care; intrapartum care; negative birth experience; postpartum care; preconception care; reproductive justice","US","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11233086","PURPOSE: Physically or psychologically distressing birth experiences can influence postpartum health, parenting efficacy, and future pregnancy plans. Communication deficits contribute to negative birth experiences. This qualitative analysis explored themes related to communication and negative birth experiences among Black birthing people who experienced preterm birth. METHODS: We conducted qualitative interviews with non-Hispanic Black, English language-proficient birthing people with Medicaid-insured preterm infants. Interviews were designed to explore experiences with health care access and well-being after birth. Interviews were audio recorded, transcribed, and coded following an integrated approach where we applied a priori codes and captured emergent themes from the data. RESULTS: We interviewed 30 participants from October 2018 to July 2021. Median gestational age at birth was 30 weeks (range 22-36 weeks). Interviews occurred a median of 7 months postpartum (range 2-34 months). Themes emerged related to negative birth experiences and communication: (1) communication gaps during urgent or emergent intrapartum procedures contributed to negative birth experiences; (2) postpartum opportunities to share birth experiences, particularly with peers, sometimes mitigated the psychological consequences of negative birth experiences; (3) participants did not consistently discuss concerns about future pregnancy risk related to negative birth experiences with clinical teams. CONCLUSIONS: Themes from this sample of Black birthing people who experienced preterm birth suggest 3 ways health systems might intervene to improve communication to mitigate the consequences of negative birth experiences. Improvement efforts in these areas may improve postpartum health, future pregnancy outcomes, and long-term health.",20240122,22,1,10.1370/afm.3048,1544-1717,,
"mdl-37536485","Strategies for obstetricians and gynecologists to advance reproductive autonomy in a post-Roe landscape.","Dahl, Carly M; Turok, David; Heuser, Cara C; Sanders, Jessica; Elliott, Sarah; Pangasa, Misha","Am J Obstet Gynecol;230(2): 226-234, 2024 Feb. ","Am J Obstet Gynecol","MEDLINE","article","en","2024","Ginecologista; Decisões da Suprema Corte; Feminino; Gravidez; Estados Unidos; Humanos; Obstetra; Aborto Legal; Reprodução","abortion; abortion access; contraception; genetic screening; healthcare services; provider responsibility; ultrasound","US","https://dx.doi.org/10.1016/j.ajog.2023.07.055","The monumental reversal of Roe vs Wade dramatically impacted the landscape of reproductive healthcare access in the United States. The decision most significantly affects communities that historically have been and continue to be marginalized by systemic racism, classism, and ableism within the medical system. To minimize the harm of restrictive policies that have proliferated since the Supreme Court overturned Roe, it is incumbent on obstetrician-gynecologists to modify practice patterns to meet the pressing reproductive health needs of their patients and communities. Change will require cross-discipline advocacy focused on advancing equity and supporting the framework of reproductive justice. Now, more than ever, obstetrician-gynecologists have a critical responsibility to implement new approaches to service delivery and education that will expand access to evidence-based, respectful, and person-centered family planning and early pregnancy care regardless of their practice location or subspecialty.",20230803,230,2,10.1016/j.ajog.2023.07.055,1097-6868,,
"mdl-36912117","Reproductive justice for Black, Indigenous, Women of Color: Uprooting race and colonialism.","Suarez-Balcazar, Yolanda; Buckingham, Sara; Rusch, Dana B; Charvonia, Alissa; Young, Rebecca Ipiaqruk; Lewis, Rhonda K; Ford-Paz, Rebecca E; Mehta, Tara G; Perez, Carolina Meza","Am J Community Psychol;73(1-2): 159-169, 2024 Mar. ","Am J Community Psychol","MEDLINE","article","en","2024","Negro ou Afro-Americano; Justiça Social; Feminino; Humanos; Clorexidina; Colonialismo; Etnicidade; Pigmentação da Pele; Povos Indígenas","Black; Critical Race Theory; Indigenous; Women of Color; empowerment and advocacy interventions; reproductive justice","GB","https://dx.doi.org/10.1002/ajcp.12650","Historically, atrocities against Black, Indigenous, and Women of Color's (BIWoC) reproductive rights have been committed and continue to take place in contemporary society. The atrocities against BIWoC have been fueled by White supremacy ideology of the ""desirable race"" and colonial views toward controlling poverty and population growth, particularly that of ""undesirable"" races and ethnicities. Grounded in Critical Race Theory, this paper aims to provide a critical analysis of historical and contemporary violations of BIWoC reproductive rights; discuss interventions based on empowerment and advocacy principles designed to promote women's reproductive justice; and discuss implications for future research, action, and policy from the lenses of Critical Race Theory and Community Psychology. This paper contributes to the special issue by critically analyzing historical and contemporary racism and colonialism against BIWoC, discussing implications for future research and practice, and making policy recommendations.",20230313,73,1-2,10.1002/ajcp.12650,1573-2770,,
